x,y,z_current,spindle_current,force_phy,force_hybrid,delta_f,stiffness,delta_k
1.140190031671945325e+00,4.226293386307686362e+00,5.676938678946873651e+00,8.456585222927625267e+00,-1.776765857799491144e+01,-4.277888400831841409e+00,1.348977017716307003e+01,3.611879546092434794e+03,2.889503636873947698e+02
1.160193365560926892e+00,4.298710839388032667e+00,5.403298677339736678e+00,8.518990222590023365e+00,-1.849710492070271783e+01,-5.247982097574830362e+00,1.324912282312788747e+01,3.611720852493251641e+03,2.889376681994601199e+02
1.180196699449908238e+00,4.371038806286241751e+00,5.633001873914415647e+00,8.622732359787525169e+00,-1.806710416903624505e+01,-5.068951768678227054e+00,1.299815240035801800e+01,3.611556418463796945e+03,2.889245134771037442e+02
1.200200033338889805e+00,4.443275801930683500e+00,5.324430854734400143e+00,8.489889928330718760e+00,-1.887621518903569040e+01,-6.044059344924381350e+00,1.283215584411130905e+01,3.611386300362446036e+03,2.889109040289956738e+02
1.220203367227871372e+00,4.515420344190042456e+00,5.495711803867472156e+00,8.458792792365102287e+00,-1.857963175338176143e+01,-5.629191111632549038e+00,1.295044064174921239e+01,3.611210555204748744e+03,2.888968444163799063e+02
1.240206701116852717e+00,4.587470953921181760e+00,5.564906511024112490e+00,8.537734876574981868e+00,-1.851761715291472044e+01,-5.102527158346230607e+00,1.341508999456848983e+01,3.611029240649096664e+03,2.888823392519277604e+02
1.260210035005834284e+00,4.659426155016896942e+00,5.625155648898659599e+00,8.562057585646758895e+00,-1.847565154589512559e+01,-4.996927479362195612e+00,1.347872406653292998e+01,3.610842414982274022e+03,2.888673931985819081e+02
1.280213368894815851e+00,4.731284474453565814e+00,5.649543012564079980e+00,8.650377471932541695e+00,-1.851578209782655549e+01,-4.912498293048100706e+00,1.360328380477845478e+01,3.610650137104908481e+03,2.888520109683926762e+02
1.300216702783797196e+00,4.803044442338713083e+00,5.668737713974298487e+00,8.544039445470854588e+00,-1.856735082788688374e+01,-5.199600968615420982e+00,1.336774985927146275e+01,3.610452466516816912e+03,2.888361973213453666e+02
1.320220036672778763e+00,4.874704591958453292e+00,5.540981973002289784e+00,8.564024706987657609e+00,-1.895720063671689459e+01,-5.527915514983353873e+00,1.342928512173354072e+01,3.610249463302258391e+03,2.888199570641806986e+02
1.340223370561760330e+00,4.946263459824829845e+00,5.536591763206876848e+00,8.566789443783600078e+00,-1.906215506735894039e+01,-6.289001369969442479e+00,1.277315369738949791e+01,3.610041188115094428e+03,2.888032950492075770e+02
1.360226704450741675e+00,5.017719585723066089e+00,5.704227492402705657e+00,8.413724724015178680e+00,-1.876984149434794702e+01,-5.600981847176299766e+00,1.316885964717164725e+01,3.609827702163870526e+03,2.887862161731096649e+02
1.380230038339723242e+00,5.089071512758684079e+00,5.587461042011176104e+00,8.425594468375239288e+00,-1.913293163735800562e+01,-5.889090606735202016e+00,1.324384103062280360e+01,3.609609067196816795e+03,2.887687253757453618e+02
1.400233372228704809e+00,5.160317787404522960e+00,5.466432500367206515e+00,8.412621113165629438e+00,-1.950542945860997079e+01,-5.704715796611040446e+00,1.380071366199893035e+01,3.609385345486772621e+03,2.887508276389418143e+02
1.420236706117686154e+00,5.231456959547654328e+00,5.492567176791205874e+00,8.389409795333122588e+00,-1.953792030892816101e+01,-6.098985429860064755e+00,1.343893487906809625e+01,3.609156599816050402e+03,2.887325279852840367e+02
1.440240040006667943e+00,5.302487582536169697e+00,5.527223001442278516e+00,8.556243897693001088e+00,-1.955020824839663263e+01,-6.058002309386314010e+00,1.349220593901031862e+01,3.608922893461231979e+03,2.887138314768985765e+02
1.460243373895649288e+00,5.373408213225856045e+00,5.706160416771736799e+00,8.512413935804787002e+00,-1.922890642396799521e+01,-5.899346336708893190e+00,1.332956008725910202e+01,3.608684290177913681e+03,2.886947432142330854e+02
1.480246707784630633e+00,5.444217412026772784e+00,5.672483658048935951e+00,8.492149760591754415e+00,-1.939780960560306511e+01,-5.901004075661518300e+00,1.349680552994154681e+01,3.608440854185396802e+03,2.886752683348317419e+02
1.500250041673612422e+00,5.514913742949685727e+00,5.747089220716061320e+00,8.274930386191345022e+00,-1.931618874900665261e+01,-6.085538060990980824e+00,1.323065068801567179e+01,3.608192650151335783e+03,2.886554120121068649e+02
1.520253375562593767e+00,5.585495773652391804e+00,5.621745414930524376e+00,8.643321132343869451e+00,-1.969576755390442102e+01,-6.226493445546159577e+00,1.346927410835826144e+01,3.607939743176346383e+03,2.886351794541077425e+02
1.540256709451575112e+00,5.655962075485934548e+00,5.700770978688746382e+00,8.403854304486266358e+00,-1.960286238373094037e+01,-6.015189181907807381e+00,1.358767320182313298e+01,3.607682198778581096e+03,2.886145759022865036e+02
1.560260043340556901e+00,5.726311223540680118e+00,5.765492662370235166e+00,8.636032133001403821e+00,-1.954242265570718118e+01,-5.966231752600188898e+00,1.357619090310699228e+01,3.607420082878271387e+03,2.885936066302617178e+02
1.580263377229538246e+00,5.796541796692268989e+00,5.661920336641879992e+00,8.352416970956927145e+00,-1.987027675911056335e+01,-6.281285198995915309e+00,1.358899156011464804e+01,3.607153461782254908e+03,2.885722769425804017e+02
1.600266711118519591e+00,5.866652377647467276e+00,5.762418958018439952e+00,8.399811666427359214e+00,-1.972608264281224066e+01,-6.314324014902144455e+00,1.341175862791009621e+01,3.606882402168478620e+03,2.885505921734783215e+02
1.620270045007501380e+00,5.936641552989854631e+00,5.636682125223907214e+00,8.285001735685249002e+00,-2.010420881118668746e+01,-6.794159062278975370e+00,1.331004974890771209e+01,3.606606971070493273e+03,2.885285576856394414e+02
1.640273378896482726e+00,6.006507913225416218e+00,5.680996788470280556e+00,8.486604234656477175e+00,-2.008879131726231293e+01,-6.881732749422091899e+00,1.320705856784022103e+01,3.606327235861940153e+03,2.885061788689552031e+02
1.660276712785464071e+00,6.076250052827976589e+00,5.687146824701640568e+00,8.365917030972498836e+00,-2.016106175787026089e+01,-6.566280930622596657e+00,1.359478082724766423e+01,3.606043264241037832e+03,2.884834611392830084e+02
1.680280046674445860e+00,6.145866570284534092e+00,5.597788257266885559e+00,8.364539861750589722e+00,-2.045367415289398139e+01,-6.911139862239284781e+00,1.354253429065469660e+01,3.605755124215070737e+03,2.884604099372056680e+02
1.700283380563427205e+00,6.215356068140424739e+00,5.808000290941999211e+00,8.336920160128993729e+00,-2.005294994654194340e+01,-6.762186643327355640e+00,1.329076330321458776e+01,3.605462884084890902e+03,2.884370307267913063e+02
1.720286714452408550e+00,6.284717153044381277e+00,5.701450245755554924e+00,8.505230421496056792e+00,-2.038431141330645957e+01,-7.159837296681809349e+00,1.322447411662465022e+01,3.605166612429432007e+03,2.884133289943545719e+02
1.740290048341390339e+00,6.353948435793451033e+00,5.767432532236812293e+00,8.496259293651874600e+00,-2.031604636155484656e+01,-6.941596980382216842e+00,1.337444938117262971e+01,3.604866378090242051e+03,2.883893102472193846e+02
1.760293382230371684e+00,6.423048531377757442e+00,5.831716754028717808e+00,8.580584735415039077e+00,-2.025113833785663076e+01,-6.397639881606258072e+00,1.385349845625037268e+01,3.604562250156044684e+03,2.883649800124835565e+02
1.780296716119353251e+00,6.492016059025147889e+00,5.835643450366670315e+00,8.377025127019203765e+00,-2.032535416126267691e+01,-6.335564525475746223e+00,1.398978963578693069e+01,3.604254297947330087e+03,2.883403438357864275e+02
1.800300050008334818e+00,6.560849642245685232e+00,5.869876549975153068e+00,8.445626822296102176e+00,-2.032889023831463859e+01,-6.498429932083233496e+00,1.383046030623140510e+01,3.603942591000979064e+03,2.883154072800783183e+02
1.820303383897316163e+00,6.629547908875998985e+00,5.786120220192292329e+00,8.321194230343225584e+00,-2.060505027122981758e+01,-6.961525725568858292e+00,1.364352454566095929e+01,3.603627199054928042e+03,2.882901759243942479e+02
1.840306717786297730e+00,6.698109491123501513e+00,5.754987780897149463e+00,8.393738030659628535e+00,-2.075889561329056576e+01,-7.643029328027248326e+00,1.311586628526331744e+01,3.603308192032884563e+03,2.882646553626307764e+02
1.860310051675279297e+00,6.766533025610451446e+00,5.803998900837016528e+00,8.375214142694957786e+00,-2.072663012139151562e+01,-7.038886493340033468e+00,1.368774362805148215e+01,3.602985640029085971e+03,2.882388512023268845e+02
1.880313385564260420e+00,6.834817153417868774e+00,5.618802323353371264e+00,8.450039065591234078e+00,-2.123631815982767890e+01,-7.983761538552762715e+00,1.325255662127491618e+01,3.602659613293117218e+03,2.882127690634494002e+02
1.900316719453242431e+00,6.902960520129314048e+00,5.655281647687194990e+00,8.490386978608750468e+00,-2.123205497194404856e+01,-7.633170313471991264e+00,1.359888465847205730e+01,3.602330182214791421e+03,2.881864145771833137e+02
1.920320053342223776e+00,6.970961775874503275e+00,5.677798662241011485e+00,8.484433777136365151e+00,-2.125959361557082161e+01,-8.071568163185805389e+00,1.318802545238501622e+01,3.601997417309088178e+03,2.881597933847270383e+02
1.940323387231205121e+00,7.038819575372785131e+00,5.724374717460471551e+00,8.333827890217767376e+00,-2.123083450603174782e+01,-7.486054601318006263e+00,1.374477990471374156e+01,3.601661389201169641e+03,2.881329111360935826e+02
1.960326721120186688e+00,7.106532577976457432e+00,5.899472686655813369e+00,8.477216137391360817e+00,-2.090361427131598404e+01,-7.321907709899903693e+00,1.358170656141608035e+01,3.601322168611465713e+03,2.881057734889172366e+02
1.980330055009168033e+00,7.174099447713935263e+00,5.750230933686293788e+00,8.389879311392419936e+00,-2.132765176662868356e+01,-7.588022036819559446e+00,1.373962972980912411e+01,3.600979826340839736e+03,2.880783861072671925e+02
2.000333388898149600e+00,7.241518853332758354e+00,5.820830234196272102e+00,8.363487554607665686e+00,-2.124154002145176179e+01,-7.466323127721539166e+00,1.377521689373022262e+01,3.600634433255836484e+03,2.880507546604669074e+02
2.020336722787131389e+00,7.308789468342451912e+00,6.029370622231029486e+00,8.328805520941912732e+00,-2.083495755778201897e+01,-7.218088486458681174e+00,1.361686907132333779e+01,3.600286060274022475e+03,2.880228848219218207e+02
2.040340056676112734e+00,7.375909971057211578e+00,5.837896692004897581e+00,8.336704843583465419e+00,-2.135550234183295970e+01,-7.369413807741814537e+00,1.398608853409114516e+01,3.599934778349412227e+03,2.879947822679529850e+02
2.060343390565094079e+00,7.442879044638456065e+00,5.976266530557610146e+00,8.516880400485426605e+00,-2.111049093669261723e+01,-7.496806738273479098e+00,1.361368419841913813e+01,3.599580658457994559e+03,2.879664526766395625e+02
2.080346724454075424e+00,7.509695377137195926e+00,5.782777486710866555e+00,8.398066243773872230e+00,-2.163483166772275368e+01,-7.978578224618535941e+00,1.365625344310421774e+01,3.599223771583362122e+03,2.879379017266689971e+02
2.100350058343057214e+00,7.576357661536243349e+00,5.877136204755796456e+00,8.383403110332151797e+00,-2.149082109651335415e+01,-7.843563087628711017e+00,1.364725800888464313e+01,3.598864188702438696e+03,2.879091350961950866e+02
2.120353392232038559e+00,7.642864595792274507e+00,5.794692836075468811e+00,8.344398071547956874e+00,-2.175656777273762543e+01,-8.283262765620833079e+00,1.347330500711679235e+01,3.598501980771324270e+03,2.878801584617059461e+02
2.140356726121020348e+00,7.709214882877711617e+00,5.874847467195876582e+00,8.556982832467603828e+00,-2.164440731939114571e+01,-7.941918378255088840e+00,1.370248894113605687e+01,3.598137218711247442e+03,2.878509774968998158e+02
2.160360060010001693e+00,7.775407230822435345e+00,6.023133069181689336e+00,8.461615360391228080e+00,-2.137348089016658648e+01,-7.780646492216014565e+00,1.359283439795057191e+01,3.597769973394636054e+03,2.878215978715708729e+02
2.180363393898983038e+00,7.841440352755349785e+00,5.721710526105062478e+00,8.295422973802496713e+00,-2.214619250184374977e+01,-8.405148075491254644e+00,1.374104442635249512e+01,3.597400315631307876e+03,2.877920252505046506e+02
2.200366727787964827e+00,7.907312966945760024e+00,5.987740456247200527e+00,8.327095794614805868e+00,-2.160070523720936464e+01,-7.911130477366931757e+00,1.368957475984243288e+01,3.597028316154790900e+03,2.877622652923832902e+02
2.220370061676946172e+00,7.973023796844582733e+00,5.970685826552950104e+00,8.327706316916641427e+00,-2.171206332727466304e+01,-8.159025509316434110e+00,1.355303781795822893e+01,3.596654045608765955e+03,2.877323236487013105e+02
2.240373395565927517e+00,8.038571571125395110e+00,5.877334328248805306e+00,8.352360537272545571e+00,-2.200016941362945744e+01,-8.163407826011882307e+00,1.383676158761757513e+01,3.596277574533643019e+03,2.877022059626914370e+02
2.260376729454909306e+00,8.103955023725298190e+00,5.781506527900044823e+00,8.280421808030421715e+00,-2.229357847195003117e+01,-8.421088563319267806e+00,1.387248990863076337e+01,3.595898973353273959e+03,2.876719178682619145e+02
2.280380063343890651e+00,8.169172893885605191e+00,5.970016088277098731e+00,8.367438720858968892e+00,-2.192573276931149806e+01,-8.151450656532436057e+00,1.377428211277906200e+01,3.595518312361805329e+03,2.876414649889444490e+02
2.300383397232871996e+00,8.234223926192374421e+00,5.904073984414992537e+00,8.444298558253976239e+00,-2.214866934103574536e+01,-8.572721501361019847e+00,1.357594783967472551e+01,3.595135661710670774e+03,2.876108529368536892e+02
2.320386731121853785e+00,8.299106870616737908e+00,6.001711863270214664e+00,8.218824159570480958e+00,-2.199084682750489961e+01,-8.569699439210644698e+00,1.342114738829425491e+01,3.594751091395727599e+03,2.875800873116581897e+02
2.340390065010835130e+00,8.363820482555066604e+00,5.982515196318868966e+00,8.229430557274964642e+00,-2.210408783746267503e+01,-8.422299645621713182e+00,1.368178819184096184e+01,3.594364671244550209e+03,2.875491736995640508e+02
2.360393398899816475e+00,8.428363522868957958e+00,6.178132810888703474e+00,8.276782683269741980e+00,-2.171726273487477599e+01,-7.936255378734362154e+00,1.378100735614041383e+01,3.593976470903863174e+03,2.875181176723090744e+02
2.380396732788798264e+00,8.492734757925035183e+00,5.963146834738426882e+00,8.276230174670628159e+00,-2.228479987174291210e+01,-8.681287149502910694e+00,1.360351272224000141e+01,3.593586559827140263e+03,2.874869247861712438e+02
2.400400066677779609e+00,8.556932959634554692e+00,5.874923320314039188e+00,8.466775119091627388e+00,-2.255709203636483196e+01,-8.773551214451899227e+00,1.378354082191293273e+01,3.593195007262353556e+03,2.874556005809882890e+02
2.420403400566760954e+00,8.620956905492864308e+00,6.025052535944820598e+00,8.382744392373686182e+00,-2.227435999911967457e+01,-8.747225573317891190e+00,1.352713442580178338e+01,3.592801882239886709e+03,2.874241505791909503e+02
2.440406734455742743e+00,8.684805378618634109e+00,6.035658026126222708e+00,8.373849223470470449e+00,-2.231567414236164026e+01,-8.753839490305734827e+00,1.356183465205590544e+01,3.592407253560610116e+03,2.873925802848488047e+02
2.460410068344724088e+00,8.748477167792930942e+00,6.178002019845727943e+00,8.272836134706560429e+00,-2.204984699097408907e+01,-8.729816273830177664e+00,1.332003071714391140e+01,3.592011189784122962e+03,2.873608951827298483e+02
2.480413402233705433e+00,8.811971067498088672e+00,6.120675673518713999e+00,8.266748647020360607e+00,-2.224818902141968024e+01,-8.393517860029076516e+00,1.385467116139060373e+01,3.591613759217162169e+03,2.873291007373729826e+02
2.500416736122687222e+00,8.875285877956400782e+00,6.068771000176265140e+00,8.169172191089238311e+00,-2.243343275750815025e+01,-8.458402388820553952e+00,1.397503036868759629e+01,3.591215029902182778e+03,2.872972023921746541e+02
